month,rank,char,play_rate
202503,41,A.K.I.,3.429
202503,41,RASHID,2.608
202503,41,BLANKA,2.156
202503,41,JURI,5.586
202503,41,MARISA,3.421
202503,41,GUILE,2.299
202503,41,ED,3.269
202503,41,E. HONDA,2.596
202503,41,JAMIE,3.669
202503,41,AKUMA,8.289
202503,41,M. BISON,4.581
202503,41,TERRY,2.589
202503,41,MAI,7.693
202503,42,RYU,3.499
202503,42,LUKE,4.114
202503,42,KIMBERLY,3.711
202503,42,CHUN-LI,2.675
202503,42,MANON,2.765
202503,42,ZANGIEF,4.598
202503,42,JP,6.468
202503,42,DHALSIM,2.282
202503,42,CAMMY,5.05
202503,42,KEN,6.345
202503,42,DEE JAY,4.597
202503,42,LILY,2.117
202503,42,A.K.I.,3.212
202503,42,RASHID,3.172
202503,42,BLANKA,3.274
202503,42,JURI,4.757
202503,42,MARISA,3.503
202503,42,GUILE,1.849
202503,42,ED,3.276
202503,42,E. HONDA,3.072
202503,42,JAMIE,3.014
202503,42,AKUMA,6.578
202503,42,M. BISON,4.931
202503,42,TERRY,2.677
202503,42,MAI,8.464
202504,36,RYU,9.525
202504,36,LUKE,4.468
202504,36,KIMBERLY,1.784
202504,36,CHUN-LI,2.035
202504,36,MANON,3.001
202504,36,ZANGIEF,4.64
202504,36,JP,3.986
202504,36,DHALSIM,0.811
202504,36,CAMMY,4.68
202504,36,KEN,7.565
202504,36,DEE JAY,3.054
202504,36,LILY,1.022
202504,36,A.K.I.,2.524
202504,36,RASHID,2.04
202504,36,BLANKA,1.246
202504,36,JURI,6.278
202504,36,MARISA,3.145
202504,36,GUILE,1.921
202504,36,ED,3.659
202504,36,E. HONDA,1.262
202504,36,JAMIE,5.041
202504,36,AKUMA,12.571
202504,36,M. BISON,4.27
202504,36,TERRY,3.222
202504,36,MAI,6.247
202504,40,RYU,6.982
202504,40,LUKE,4.752
202504,40,KIMBERLY,2.632
202504,40,CHUN-LI,2.275
202504,40,MANON,3.171
202504,40,ZANGIEF,4.016
202504,40,JP,5.219
202504,40,DHALSIM,1.343
202504,40,CAMMY,4.764
202504,40,KEN,7.177
202504,40,DEE JAY,3.947
202504,40,LILY,1.304
202504,40,A.K.I.,3.426
202504,40,RASHID,2.739
202504,40,BLANKA,1.681
202504,40,JURI,6.127
202504,40,MARISA,3.237
202504,40,GUILE,2.289
202504,40,ED,3.279
202504,40,E. HONDA,2.071
202504,40,JAMIE,4.724
202504,40,AKUMA,8.946
202504,40,M. BISON,4.763
202504,40,TERRY,3.293
202504,40,MAI,5.846
202504,41,RYU,5.839
202504,41,LUKE,4.798
202504,41,KIMBERLY,3.406
202504,41,CHUN-LI,2.2
202504,41,MANON,3.298
202504,41,ZANGIEF,4.203
202504,41,JP,5.496
202504,41,DHALSIM,1.77
202504,41,CAMMY,4.567
202504,41,KEN,6.499
202504,41,DEE JAY,4.472
202504,41,LILY,1.662
202504,41,A.K.I.,3.64
202504,41,RASHID,2.868
202504,41,BLANKA,1.989
202504,41,JURI,6.043
202504,41,MARISA,3.554
202504,41,GUILE,2.182
202504,41,ED,3.321
202504,41,E. HONDA,2.537
202504,41,JAMIE,4.506
202504,41,AKUMA,7.854
202504,41,M. BISON,4.765
202504,41,TERRY,3.083
202504,41,MAI,5.449
202504,42,RYU,3.961
202504,42,LUKE,4.488
202504,42,KIMBERLY,3.873
202504,42,CHUN-LI,2.405
202504,42,MANON,3.057
202504,42,ZANGIEF,4.447
202504,42,JP,5.936
202504,42,DHALSIM,2.253
202504,42,CAMMY,4.665
202504,42,KEN,6.147
202504,42,DEE JAY,4.813
202504,42,LILY,1.93
202504,42,A.K.I.,3.736
202504,42,RASHID,3.245
202504,42,BLANKA,3.281
202504,42,JURI,5.712
202504,42,MARISA,3.496
202504,42,GUILE,2.211
202504,42,ED,3.135
202504,42,E. HONDA,2.992
202504,42,JAMIE,3.742
202504,42,AKUMA,6.773
202504,42,M. BISON,5.411
202504,42,TERRY,2.321
202504,42,MAI,5.972
202505,36,RYU,9.177
202505,36,LUKE,4.487
202505,36,KIMBERLY,1.821
202505,36,CHUN-LI,2.011
202505,36,MANON,3.353
202505,36,ZANGIEF,5.074
202505,36,JP,3.654
202505,36,DHALSIM,0.914
202505,36,CAMMY,4.812
202505,36,KEN,7.758
202505,36,DEE JAY,3.003
202505,36,LILY,1.183
202505,36,A.K.I.,2.855
202505,36,RASHID,1.865
202505,36,BLANKA,1.405
202505,36,JURI,5.983
202505,36,MARISA,3.22
202505,36,GUILE,1.878
202505,36,ED,3.838
202505,36,E. HONDA,1.44
202505,36,JAMIE,5.194
202505,36,AKUMA,12.236
202505,36,M. BISON,4.542
202505,36,TERRY,3.311
202505,36,MAI,4.987
202505,40,RYU,6.368
202505,40,LUKE,4.679
202505,40,KIMBERLY,3.046
202505,40,CHUN-LI,2.437
202505,40,MANON,3.357
202505,40,ZANGIEF,4.071
202505,40,JP,4.992
202505,40,DHALSIM,1.776
202505,40,CAMMY,4.84
202505,40,KEN,7.015
202505,40,DEE JAY,3.925
202505,40,LILY,1.535
202505,40,A.K.I.,3.91
202505,40,RASHID,2.728
202505,40,BLANKA,2.038
202505,40,JURI,5.805
202505,40,MARISA,3.55
202505,40,GUILE,2.232
202505,40,ED,3.543
202505,40,E. HONDA,2.356
202505,40,JAMIE,4.548
202505,40,AKUMA,8.056
202505,40,M. BISON,5.171
202505,40,TERRY,3.171
202505,40,MAI,4.85
202505,41,RYU,5.186
202505,41,LUKE,4.511
202505,41,KIMBERLY,3.748
202505,41,CHUN-LI,2.392
202505,41,MANON,3.082
202505,41,ZANGIEF,4.028
202505,41,JP,5.579
202505,41,DHALSIM,2.104
202505,41,CAMMY,4.797
202505,41,KEN,6.484
202505,41,DEE JAY,4.405
202505,41,LILY,1.755
202505,41,A.K.I.,3.965
202505,41,RASHID,2.891
202505,41,BLANKA,2.773
202505,41,JURI,5.546
202505,41,MARISA,4.056
202505,41,GUILE,2.216
202505,41,ED,3.427
202505,41,E. HONDA,2.847
202505,41,JAMIE,4.297
202505,41,AKUMA,7.264
202505,41,M. BISON,5.02
202505,41,TERRY,2.934
202505,41,MAI,4.695
202505,42,RYU,3.945
202505,42,LUKE,4.043
202505,42,KIMBERLY,3.945
202505,42,CHUN-LI,2.376
202505,42,MANON,3.046
202505,42,ZANGIEF,5.026
202505,42,JP,5.786
202505,42,DHALSIM,2.433
202505,42,CAMMY,5.189
202505,42,KEN,6.272
202505,42,DEE JAY,4.531
202505,42,LILY,2.161
202505,42,A.K.I.,3.316
202505,42,RASHID,3.458
202505,42,BLANKA,3.746
202505,42,JURI,5.086
202505,42,MARISA,3.771
202505,42,GUILE,2.074
202505,42,ED,3.118
202505,42,E. HONDA,3.535
202505,42,JAMIE,3.716
202505,42,AKUMA,6.317
202505,42,M. BISON,5.918
202505,42,TERRY,2.146
202505,42,MAI,5.044
202506,36,RYU,11.585
202506,36,LUKE,5.274
202506,36,KIMBERLY,1.525
202506,36,CHUN-LI,2.508
202506,36,MANON,2.905
202506,36,ZANGIEF,5.404
202506,36,JP,3.273
202506,36,DHALSIM,0.968
202506,36,CAMMY,3.99
202506,36,KEN,5.855
202506,36,DEE JAY,2.717
202506,36,LILY,0.97
202506,36,A.K.I.,2.594
202506,36,RASHID,1.524
202506,36,BLANKA,1.238
202506,36,JURI,4.891
202506,36,MARISA,3.5
202506,36,GUILE,1.771
202506,36,ED,3.234
202506,36,E. HONDA,1.163
202506,36,JAMIE,5.689
202506,36,AKUMA,9.661
202506,36,M. BISON,4.206
202506,36,TERRY,4.005
202506,36,MAI,5.08
202506,36,ELENA,4.472
202506,40,RYU,8.555
202506,40,LUKE,6.013
202506,40,KIMBERLY,2.433
202506,40,CHUN-LI,2.863
202506,40,MANON,2.868
202506,40,ZANGIEF,3.69
202506,40,JP,4.647
202506,40,DHALSIM,1.676
202506,40,CAMMY,3.933
202506,40,KEN,5.451
202506,40,DEE JAY,3.63
202506,40,LILY,1.277
202506,40,A.K.I.,3.385
202506,40,RASHID,2.04
202506,40,BLANKA,1.727
202506,40,JURI,4.723
202506,40,MARISA,4.011
202506,40,GUILE,1.92
202506,40,ED,3.002
202506,40,E. HONDA,1.917
202506,40,JAMIE,5.055
202506,40,AKUMA,6.677
202506,40,M. BISON,4.648
202506,40,TERRY,4.153
202506,40,MAI,4.673
202506,40,ELENA,5.035
202506,41,RYU,7.206
202506,41,LUKE,5.818
202506,41,KIMBERLY,3.265
202506,41,CHUN-LI,2.82
202506,41,MANON,2.811
202506,41,ZANGIEF,3.522
202506,41,JP,4.931
202506,41,DHALSIM,2.18
202506,41,CAMMY,3.971
202506,41,KEN,5.093
202506,41,DEE JAY,4.114
202506,41,LILY,1.571
202506,41,A.K.I.,3.609
202506,41,RASHID,2.3
202506,41,BLANKA,2.256
202506,41,JURI,4.793
202506,41,MARISA,4.449
202506,41,GUILE,2.107
202506,41,ED,2.912
202506,41,E. HONDA,2.437
202506,41,JAMIE,4.831
202506,41,AKUMA,5.935
202506,41,M. BISON,4.824
202506,41,TERRY,3.826
202506,41,MAI,4.297
202506,41,ELENA,4.119
202506,42,RYU,5.966
202506,42,LUKE,5.258
202506,42,KIMBERLY,3.96
202506,42,CHUN-LI,3.239
202506,42,MANON,2.544
202506,42,ZANGIEF,3.429
202506,42,JP,5.878
202506,42,DHALSIM,2.489
202506,42,CAMMY,4.419
202506,42,KEN,4.736
202506,42,DEE JAY,4.958
202506,42,LILY,1.832
202506,42,A.K.I.,3.191
202506,42,RASHID,2.851
202506,42,BLANKA,3.549
202506,42,JURI,4.651
202506,42,MARISA,4.67
202506,42,GUILE,2.091
202506,42,ED,2.859
202506,42,E. HONDA,3.037
202506,42,JAMIE,4.126
202506,42,AKUMA,4.993
202506,42,M. BISON,4.964
202506,42,TERRY,2.941
202506,42,MAI,4.299
202506,42,ELENA,3.068
202507,36,RYU,10.464
202507,36,LUKE,4.72
202507,36,KIMBERLY,1.549
202507,36,CHUN-LI,2.433
202507,36,MANON,3.387
202507,36,ZANGIEF,4.724
202507,36,JP,3.589
202507,36,DHALSIM,1.025
202507,36,CAMMY,4.23
202507,36,KEN,5.93
202507,36,DEE JAY,2.947
202507,36,LILY,0.907
202507,36,A.K.I.,2.746
202507,36,RASHID,1.54
202507,36,BLANKA,1.182
202507,36,JURI,5.532
202507,36,MARISA,3.69
202507,36,GUILE,1.895
202507,36,ED,3.473
202507,36,E. HONDA,1.207
202507,36,JAMIE,5.26
202507,36,AKUMA,10.728
202507,36,M. BISON,4.309
202507,36,TERRY,4.381
202507,36,MAI,4.713
202507,36,ELENA,3.438
202507,40,RYU,7.764
202507,40,LUKE,5.403
202507,40,KIMBERLY,2.371
202507,40,CHUN-LI,2.814
202507,40,MANON,3.244
202507,40,ZANGIEF,3.201
202507,40,JP,4.893
202507,40,DHALSIM,1.518
202507,40,CAMMY,4.23
202507,40,KEN,5.94
202507,40,DEE JAY,3.712
202507,40,LILY,1.201
202507,40,A.K.I.,3.414
202507,40,RASHID,1.984
202507,40,BLANKA,1.622
202507,40,JURI,5.302
202507,40,MARISA,4.14
202507,40,GUILE,1.951
202507,40,ED,2.998
202507,40,E. HONDA,1.92
202507,40,JAMIE,5.074
202507,40,AKUMA,7.731
202507,40,M. BISON,4.774
202507,40,TERRY,4.541
202507,40,MAI,4.646
202507,40,ELENA,3.612
202507,41,RYU,6.435
202507,41,LUKE,5.344
202507,41,KIMBERLY,3.063
202507,41,CHUN-LI,2.671
202507,41,MANON,3.161
202507,41,ZANGIEF,3.153
202507,41,JP,5.351
202507,41,DHALSIM,2.076
202507,41,CAMMY,4.186
202507,41,KEN,5.434
202507,41,DEE JAY,3.876
202507,41,LILY,1.317
202507,41,A.K.I.,3.622
202507,41,RASHID,2.503
202507,41,BLANKA,2.098
202507,41,JURI,5.329
202507,41,MARISA,4.528
202507,41,GUILE,2.075
202507,41,ED,2.998
202507,41,E. HONDA,2.24
202507,41,JAMIE,4.682
202507,41,AKUMA,6.453
202507,41,M. BISON,4.912
202507,41,TERRY,4.34
202507,41,MAI,4.577
202507,41,ELENA,3.576
202507,42,RYU,4.815
202507,42,LUKE,5.012
202507,42,KIMBERLY,3.757
202507,42,CHUN-LI,2.918
202507,42,MANON,2.764
202507,42,ZANGIEF,2.803
202507,42,JP,6.088
202507,42,DHALSIM,2.424
202507,42,CAMMY,4.347
202507,42,KEN,4.922
202507,42,DEE JAY,4.843
202507,42,LILY,1.619
202507,42,A.K.I.,3.484
202507,42,RASHID,2.794
202507,42,BLANKA,3.312
202507,42,JURI,5.048
202507,42,MARISA,4.504
202507,42,GUILE,2.039
202507,42,ED,3.013
202507,42,E. HONDA,2.806
202507,42,JAMIE,4.133
202507,42,AKUMA,5.822
202507,42,M. BISON,5.075
202507,42,TERRY,3.602
202507,42,MAI,4.881
202507,42,ELENA,3.174
202508,36,RYU,8.174
202508,36,LUKE,4.568
202508,36,KIMBERLY,1.772
202508,36,CHUN-LI,2.684
202508,36,MANON,3.355
202508,36,ZANGIEF,4.006
202508,36,JP,3.469
202508,36,DHALSIM,0.902
202508,36,CAMMY,4.798
202508,36,KEN,5.662
202508,36,DEE JAY,2.762
202508,36,LILY,0.869
202508,36,A.K.I.,2.88
202508,36,RASHID,1.427
202508,36,BLANKA,1.279
202508,36,JURI,4.864
202508,36,MARISA,3.091
202508,36,GUILE,1.667
202508,36,ED,3.483
202508,36,E. HONDA,1.133
202508,36,JAMIE,4.537
202508,36,AKUMA,9.129
202508,36,SAGAT,8.807
202508,36,M. BISON,3.802
202508,36,TERRY,4.003
202508,36,MAI,4.516
202508,36,ELENA,2.361
202508,40,RYU,5.419
202508,40,LUKE,5.121
202508,40,KIMBERLY,2.92
202508,40,CHUN-LI,2.891
202508,40,MANON,2.868
202508,40,ZANGIEF,2.802
202508,40,JP,4.587
202508,40,DHALSIM,1.758
202508,40,CAMMY,4.519
202508,40,KEN,5.104
202508,40,DEE JAY,3.655
202508,40,LILY,1.179
202508,40,A.K.I.,3.668
202508,40,RASHID,2.178
202508,40,BLANKA,2.078
202508,40,JURI,4.547
202508,40,MARISA,3.547
202508,40,GUILE,1.996
202508,40,ED,3.176
202508,40,E. HONDA,2.003
202508,40,JAMIE,3.836
202508,40,AKUMA,6.041
202508,40,SAGAT,9.325
202508,40,M. BISON,4.304
202508,40,TERRY,3.704
202508,40,MAI,4.169
202508,40,ELENA,2.606
202508,41,RYU,4.722
202508,41,LUKE,4.488
202508,41,KIMBERLY,4.08
202508,41,CHUN-LI,2.959
202508,41,MANON,2.803
202508,41,ZANGIEF,2.482
202508,41,JP,4.862
202508,41,DHALSIM,2.169
202508,41,CAMMY,4.824
202508,41,KEN,4.641
202508,41,DEE JAY,4.072
202508,41,LILY,1.451
202508,41,A.K.I.,3.714
202508,41,RASHID,2.301
202508,41,BLANKA,2.817
202508,41,JURI,4.243
202508,41,MARISA,3.946
202508,41,GUILE,1.964
202508,41,ED,3.051
202508,41,E. HONDA,2.49
202508,41,JAMIE,3.453
202508,41,AKUMA,5.025
202508,41,SAGAT,8.366
202508,41,M. BISON,4.583
202508,41,TERRY,3.541
202508,41,MAI,4.158
202508,41,ELENA,2.797
202508,42,RYU,4.118
202508,42,LUKE,4.486
202508,42,KIMBERLY,4.443
202508,42,CHUN-LI,3.092
202508,42,MANON,2.631
202508,42,ZANGIEF,2.312
202508,42,JP,4.951
202508,42,DHALSIM,2.541
202508,42,CAMMY,5.276
202508,42,KEN,4.316
202508,42,DEE JAY,4.671
202508,42,LILY,1.875
202508,42,A.K.I.,2.703
202508,42,RASHID,2.946
202508,42,BLANKA,3.408
202508,42,JURI,4.205
202508,42,MARISA,4.205
202508,42,GUILE,1.934
202508,42,ED,3.451
202508,42,E. HONDA,2.843
202508,42,JAMIE,3.003
202508,42,AKUMA,4.268
202508,42,SAGAT,6.424
202508,42,M. BISON,4.733
202508,42,TERRY,2.983
202508,42,MAI,5.438
202508,42,ELENA,2.744
202509,36,RYU,9.284
202509,36,LUKE,4.174
202509,36,KIMBERLY,1.456
202509,36,CHUN-LI,2.483
202509,36,MANON,2.883
202509,36,ZANGIEF,4.052
202509,36,JP,3.314
202509,36,DHALSIM,0.798
202509,36,CAMMY,4.924
202509,36,KEN,6.193
202509,36,DEE JAY,2.518
202509,36,LILY,0.844
202509,36,A.K.I.,2.608
202509,36,RASHID,1.393
202509,36,BLANKA,1.303
202509,36,JURI,5.095
202509,36,MARISA,2.982
202509,36,GUILE,1.618
202509,36,ED,4.218
202509,36,E. HONDA,1.022
202509,36,JAMIE,4.59
202509,36,AKUMA,10.343
202509,36,SAGAT,6.89
202509,36,M. BISON,4.158
202509,36,TERRY,3.833
202509,36,MAI,4.74
202509,36,ELENA,2.286
202509,40,RYU,6.495
202509,40,LUKE,4.871
202509,40,KIMBERLY,2.358
202509,40,CHUN-LI,2.809
202509,40,MANON,2.806
202509,40,ZANGIEF,2.95
202509,40,JP,4.402
202509,40,DHALSIM,1.345
202509,40,CAMMY,4.895
202509,40,KEN,5.866
202509,40,DEE JAY,3.456
202509,40,LILY,1.1
202509,40,A.K.I.,3.321
202509,40,RASHID,2.131
202509,40,BLANKA,2.04
202509,40,JURI,5.047
202509,40,MARISA,3.446
202509,40,GUILE,1.862
202509,40,ED,3.632
202509,40,E. HONDA,1.76
202509,40,JAMIE,4.071
202509,40,AKUMA,6.908
202509,40,SAGAT,7.065
202509,40,M. BISON,4.8
202509,40,TERRY,3.751
202509,40,MAI,4.236
202509,40,ELENA,2.577
202509,41,RYU,5.545
202509,41,LUKE,4.632
202509,41,KIMBERLY,3.037
202509,41,CHUN-LI,2.767
202509,41,MANON,2.803
202509,41,ZANGIEF,2.775
202509,41,JP,4.924
202509,41,DHALSIM,1.745
202509,41,CAMMY,5.112
202509,41,KEN,5.383
202509,41,DEE JAY,3.797
202509,41,LILY,1.328
202509,41,A.K.I.,3.521
202509,41,RASHID,2.287
202509,41,BLANKA,2.607
202509,41,JURI,4.923
202509,41,MARISA,3.82
202509,41,GUILE,2.002
202509,41,ED,3.744
202509,41,E. HONDA,2.112
202509,41,JAMIE,3.667
202509,41,AKUMA,6.255
202509,41,SAGAT,6.438
202509,41,M. BISON,4.918
202509,41,TERRY,3.379
202509,41,MAI,3.98
202509,41,ELENA,2.497
202509,42,RYU,4.239
202509,42,LUKE,4.541
202509,42,KIMBERLY,3.899
202509,42,CHUN-LI,3.056
202509,42,MANON,2.489
202509,42,ZANGIEF,2.556
202509,42,JP,5.549
202509,42,DHALSIM,2.266
202509,42,CAMMY,4.764
202509,42,KEN,4.698
202509,42,DEE JAY,4.441
202509,42,LILY,1.954
202509,42,A.K.I.,2.806
202509,42,RASHID,2.704
202509,42,BLANKA,3.37
202509,42,JURI,4.669
202509,42,MARISA,4.354
202509,42,GUILE,2
202509,42,ED,3.575
202509,42,E. HONDA,2.64
202509,42,JAMIE,3.224
202509,42,AKUMA,4.883
202509,42,SAGAT,5.001
202509,42,M. BISON,5.257
202509,42,TERRY,3.061
202509,42,MAI,5.183
202509,42,ELENA,2.824
202510,36,RYU,9.946
202510,36,LUKE,3.935
202510,36,KIMBERLY,1.349
202510,36,CHUN-LI,2.209
202510,36,MANON,2.68
202510,36,ZANGIEF,5.028
202510,36,JP,3.29
202510,36,DHALSIM,0.805
202510,36,CAMMY,4.381
202510,36,KEN,6.074
202510,36,DEE JAY,2.39
202510,36,LILY,0.891
202510,36,A.K.I.,2.275
202510,36,RASHID,1.333
202510,36,BLANKA,1.236
202510,36,JURI,5.051
202510,36,MARISA,2.775
202510,36,GUILE,1.589
202510,36,ED,4.34
202510,36,E. HONDA,1.015
202510,36,JAMIE,4.417
202510,36,AKUMA,9.906
202510,36,SAGAT,4.678
202510,36,M. BISON,3.847
202510,36,TERRY,3.622
202510,36,MAI,4.423
202510,36,ELENA,2.198
202510,36,C. VIPER,4.315
202510,40,RYU,7.473
202510,40,LUKE,4.699
202510,40,KIMBERLY,2.237
202510,40,CHUN-LI,2.436
202510,40,MANON,2.753
202510,40,ZANGIEF,3.749
202510,40,JP,4.434
202510,40,DHALSIM,1.349
202510,40,CAMMY,4.18
202510,40,KEN,5.819
202510,40,DEE JAY,3.303
202510,40,LILY,1.063
202510,40,A.K.I.,2.945
202510,40,RASHID,1.925
202510,40,BLANKA,1.848
202510,40,JURI,4.805
202510,40,MARISA,3.232
202510,40,GUILE,1.744
202510,40,ED,3.567
202510,40,E. HONDA,1.639
202510,40,JAMIE,3.944
202510,40,AKUMA,6.798
202510,40,SAGAT,4.951
202510,40,M. BISON,4.488
202510,40,TERRY,3.486
202510,40,MAI,3.946
202510,40,ELENA,2.561
202510,40,C. VIPER,4.624
202510,41,RYU,6.126
202510,41,LUKE,4.711
202510,41,KIMBERLY,2.789
202510,41,CHUN-LI,2.558
202510,41,MANON,2.804
202510,41,ZANGIEF,3.536
202510,41,JP,4.872
202510,41,DHALSIM,1.646
202510,41,CAMMY,4.115
202510,41,KEN,5.287
202510,41,DEE JAY,3.895
202510,41,LILY,1.311
202510,41,A.K.I.,3.142
202510,41,RASHID,2.237
202510,41,BLANKA,2.411
202510,41,JURI,4.686
202510,41,MARISA,3.418
202510,41,GUILE,2.246
202510,41,ED,3.621
202510,41,E. HONDA,2.114
202510,41,JAMIE,3.631
202510,41,AKUMA,6.193
202510,41,SAGAT,4.57
202510,41,M. BISON,4.611
202510,41,TERRY,3.306
202510,41,MAI,3.611
202510,41,ELENA,2.695
202510,41,C. VIPER,3.858
202510,42,RYU,4.697
202510,42,LUKE,4.44
202510,42,KIMBERLY,3.762
202510,42,CHUN-LI,3.013
202510,42,MANON,2.774
202510,42,ZANGIEF,2.776
202510,42,JP,5.968
202510,42,DHALSIM,2.066
202510,42,CAMMY,4.442
202510,42,KEN,4.794
202510,42,DEE JAY,4.415
202510,42,LILY,1.979
202510,42,A.K.I.,2.882
202510,42,RASHID,2.776
202510,42,BLANKA,3.459
202510,42,JURI,4.529
202510,42,MARISA,4.185
202510,42,GUILE,2.277
202510,42,ED,3.454
202510,42,E. HONDA,2.742
202510,42,JAMIE,3.303
202510,42,AKUMA,4.59
202510,42,SAGAT,3.469
202510,42,M. BISON,5.066
202510,42,TERRY,2.878
202510,42,MAI,4.104
202510,42,ELENA,2.516
202510,42,C. VIPER,2.645
202511,36,RYU,9.943
202511,36,LUKE,4.166
202511,36,KIMBERLY,1.463
202511,36,CHUN-LI,2.09
202511,36,MANON,2.52
202511,36,ZANGIEF,4.623
202511,36,JP,3.647
202511,36,DHALSIM,0.925
202511,36,CAMMY,4.033
202511,36,KEN,6.026
202511,36,DEE JAY,2.48
202511,36,LILY,0.928
202511,36,A.K.I.,2.392
202511,36,RASHID,1.411
202511,36,BLANKA,1.515
202511,36,JURI,4.877
202511,36,MARISA,3.089
202511,36,GUILE,1.592
202511,36,ED,4.218
202511,36,E. HONDA,1.19
202511,36,JAMIE,4.459
202511,36,AKUMA,9.033
202511,36,SAGAT,4.472
202511,36,M. BISON,3.976
202511,36,TERRY,3.809
202511,36,MAI,4.244
202511,36,ELENA,2.149
202511,36,C. VIPER,4.727
202511,40,RYU,6.972
